,Ship Mode,Segment,City,Country,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
1550,Standard Class,Corporate,Berlin,Germany,Technology,Accessories,entre 1 y 2,0.1,High,March,146.412
1551,Second Class,Consumer,Adelaide,Australia,Technology,Copiers,entre 3 y 4,0.1,High,May,146.33228571428572
1552,Standard Class,Corporate,Rome,Italy,Furniture,Furnishings,entre 5 y 6,0.0,Medium,November,99.95454545454545
1553,First Class,Corporate,London,United Kingdom,Technology,Phones,entre 1 y 2,0.1,Medium,July,164.016
1554,Standard Class,Consumer,Kinshasa,Democratic Republic of the Congo,Office Supplies,Art,entre 5 y 6,0.0,Medium,November,59.89090909090908
1555,First Class,Home Office,San Pedro Sula,Honduras,Furniture,Bookcases,entre 1 y 2,0.4,Critical,April,65.584
1556,Standard Class,Corporate,Casablanca,Morocco,Office Supplies,Binders,entre 3 y 4,0.0,High,December,59.17714285714286
1557,Standard Class,Consumer,Ho Chi Minh City,Vietnam,Furniture,Bookcases,entre 3 y 4,0.37,Medium,March,91.98360000000001
1558,Second Class,Consumer,Istanbul,Turkey,Office Supplies,Storage,entre 7 y 8,0.6,Medium,October,54.3872
1559,Second Class,Consumer,London,United Kingdom,Technology,Machines,entre 1 y 2,0.1,High,December,184.93200000000002
1560,Standard Class,Home Office,Paris,France,Technology,Machines,entre 3 y 4,0.15,Medium,June,170.92285714285714
1561,Standard Class,Corporate,Tegucigalpa,Honduras,Furniture,Bookcases,entre 7 y 8,0.4,Medium,May,73.14720000000001
1562,Standard Class,Consumer,Soyapango,El Salvador,Office Supplies,Art,entre 7 y 8,0.0,High,February,32.74133333333334
1563,Standard Class,Home Office,Paris,France,Technology,Copiers,entre 9 y 10,0.15,Medium,December,153.90994736842106
1564,Same Day,Consumer,Baghdad,Iraq,Office Supplies,Storage,entre 1 y 2,0.0,High,August,141.1
1565,First Class,Consumer,Mexico City,Mexico,Technology,Accessories,entre 1 y 2,0.0,High,November,97.97333333333334
1566,First Class,Corporate,San Pedro Sula,Honduras,Office Supplies,Storage,entre 3 y 4,0.4,High,June,71.09485714285714
1567,First Class,Consumer,Madrid,Spain,Technology,Accessories,entre 5 y 6,0.0,High,November,66.05454545454546
1568,First Class,Consumer,San Salvador,El Salvador,Furniture,Chairs,entre 3 y 4,0.0,Medium,October,44.82285714285714
1569,Standard Class,Home Office,São Paulo,Brazil,Technology,Machines,entre 7 y 8,0.0,Medium,September,108.22933333333334
1570,First Class,Corporate,São Paulo,Brazil,Technology,Copiers,entre 3 y 4,0.002,Medium,July,180.5467542857143
1571,First Class,Corporate,Riyadh,Saudi Arabia,Technology,Phones,entre 1 y 2,0.0,Critical,February,82.96
1572,First Class,Corporate,Kinshasa,Democratic Republic of the Congo,Office Supplies,Storage,entre 1 y 2,0.0,Medium,September,138.54
1573,Second Class,Home Office,Ho Chi Minh City,Vietnam,Office Supplies,Storage,entre 7 y 8,0.17,High,May,41.99468
1574,Standard Class,Consumer,Lahore,Pakistan,Furniture,Bookcases,entre 3 y 4,0.2,Medium,April,116.70171428571429
1575,Second Class,Corporate,Managua,Nicaragua,Office Supplies,Storage,entre 3 y 4,0.0,Critical,November,36.22857142857143
1576,Same Day,Consumer,Jakarta,Indonesia,Furniture,Bookcases,entre 1 y 2,0.07,High,January,176.6256
1577,Second Class,Corporate,Santo Domingo,Dominican Republic,Technology,Phones,entre 1 y 2,0.2,High,November,119.59466666666667
1578,Standard Class,Home Office,Ho Chi Minh City,Vietnam,Office Supplies,Art,entre 7 y 8,0.17,Low,February,44.966080000000005
1579,Standard Class,Home Office,Sydney,Australia,Furniture,Bookcases,entre 7 y 8,0.1,Medium,September,144.21959999999999
1580,Second Class,Consumer,Managua,Nicaragua,Technology,Phones,entre 3 y 4,0.0,Medium,May,127.22285714285714
1581,Standard Class,Corporate,Managua,Nicaragua,Technology,Machines,entre 1 y 2,0.0,Medium,November,279.2
1582,Second Class,Consumer,San Salvador,El Salvador,Furniture,Chairs,entre 3 y 4,0.0,Medium,March,97.38857142857144
1583,First Class,Corporate,Jakarta,Indonesia,Furniture,Furnishings,entre 1 y 2,0.27,High,June,104.0688
1584,Standard Class,Consumer,Cairo,Egypt,Office Supplies,Storage,entre 1 y 2,0.0,Medium,December,264.52
1585,Standard Class,Consumer,Adelaide,Australia,Furniture,Furnishings,entre 7 y 8,0.1,High,September,43.596000000000004
1586,Second Class,Corporate,Santiago de Cuba,Cuba,Furniture,Bookcases,entre 3 y 4,0.0,Medium,June,112.62857142857142
1587,First Class,Consumer,Bangkok,Thailand,Furniture,Furnishings,entre 5 y 6,0.27,High,May,20.02058181818182
1588,Standard Class,Consumer,Santo Domingo,Dominican Republic,Technology,Copiers,entre 5 y 6,0.202,Medium,December,153.8544
1589,Standard Class,Corporate,Melbourne,Australia,Furniture,Chairs,entre 1 y 2,0.1,High,March,282.708
1590,Standard Class,Consumer,Soyapango,El Salvador,Office Supplies,Storage,entre 3 y 4,0.0,High,May,112.85142857142857
1591,Second Class,Consumer,Buenos Aires,Argentina,Furniture,Chairs,entre 3 y 4,0.4,High,December,60.740571428571435
1592,Second Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Appliances,entre 1 y 2,0.2,High,March,381.46133333333336
1593,Second Class,Consumer,Mexico City,Mexico,Furniture,Chairs,entre 5 y 6,0.2,High,January,44.46545454545455
1594,First Class,Consumer,Panama City,Panama,Office Supplies,Storage,entre 5 y 6,0.4,Critical,April,17.62909090909091
1595,First Class,Consumer,Mexico City,Mexico,Office Supplies,Appliances,entre 3 y 4,0.0,Critical,November,39.30857142857143
1596,First Class,Corporate,Yangon,Myanmar (Burma),Furniture,Tables,entre 1 y 2,0.57,High,September,259.9952
1597,Same Day,Consumer,Manila,Philippines,Office Supplies,Paper,entre 5 y 6,0.45,High,February,31.517999999999997
1598,Standard Class,Corporate,Melbourne,Australia,Furniture,Tables,entre 1 y 2,0.3,Medium,October,434.0
1599,First Class,Consumer,Managua,Nicaragua,Technology,Accessories,entre 5 y 6,0.0,Medium,December,25.41818181818182
1600,Standard Class,Home Office,Santo Domingo,Dominican Republic,Furniture,Chairs,entre 11 y 12,0.2,Low,June,32.289391304347824
1601,Second Class,Consumer,Santo Domingo,Dominican Republic,Furniture,Chairs,entre 7 y 8,0.2,High,July,31.01653333333333
1602,Standard Class,Consumer,Gold Coast,Australia,Technology,Copiers,entre 3 y 4,0.1,High,June,108.72514285714286
1603,Standard Class,Home Office,Brisbane,Australia,Technology,Accessories,entre 5 y 6,0.1,High,November,67.89272727272727
1604,Standard Class,Corporate,Bangkok,Thailand,Office Supplies,Appliances,entre 5 y 6,0.17,Medium,September,211.7631818181818
1605,First Class,Home Office,Ho Chi Minh City,Vietnam,Furniture,Chairs,entre 3 y 4,0.27,Medium,November,38.83808571428572
1606,First Class,Home Office,Istanbul,Turkey,Office Supplies,Appliances,entre 1 y 2,0.6,High,April,74.256
1607,Second Class,Consumer,Brisbane,Australia,Technology,Phones,entre 3 y 4,0.1,High,May,56.538000000000004
1608,Second Class,Consumer,Canberra,Australia,Furniture,Chairs,entre 3 y 4,0.4,High,May,76.92685714285714
1609,Second Class,Corporate,Cairo,Egypt,Technology,Phones,entre 1 y 2,0.0,High,June,182.12
1610,Same Day,Consumer,Mexico City,Mexico,Furniture,Bookcases,entre 1 y 2,0.2,Critical,September,87.76533333333333
1611,First Class,Consumer,San Salvador,El Salvador,Technology,Accessories,entre 3 y 4,0.0,High,December,42.01142857142857
1612,Standard Class,Consumer,Soyapango,El Salvador,Furniture,Bookcases,entre 3 y 4,0.0,High,November,95.31428571428572
1613,First Class,Consumer,Alexandria,Egypt,Office Supplies,Supplies,entre 7 y 8,0.0,Medium,June,23.616
1614,Standard Class,Corporate,Jakarta,Indonesia,Furniture,Furnishings,entre 9 y 10,0.27,Medium,July,39.08804210526316
1615,Standard Class,Consumer,Perth,Australia,Office Supplies,Appliances,entre 9 y 10,0.1,Medium,September,77.58094736842105
1616,Second Class,Consumer,Ho Chi Minh City,Vietnam,Technology,Accessories,entre 5 y 6,0.47,Medium,February,59.997927272727274
1617,First Class,Consumer,Managua,Nicaragua,Technology,Accessories,entre 5 y 6,0.0,High,December,23.09090909090909
1618,Standard Class,Home Office,London,United Kingdom,Technology,Copiers,entre 1 y 2,0.1,Low,May,381.74399999999997
1619,Second Class,Consumer,Manila,Philippines,Furniture,Furnishings,entre 7 y 8,0.25,Medium,September,41.16
1620,Standard Class,Corporate,Adelaide,Australia,Office Supplies,Appliances,entre 1 y 2,0.1,Medium,September,325.062
1621,Second Class,Consumer,Perth,Australia,Furniture,Furnishings,entre 7 y 8,0.1,Medium,February,48.355199999999996
1622,First Class,Home Office,Manila,Philippines,Technology,Phones,entre 3 y 4,0.25,High,June,90.855
1623,Standard Class,Home Office,Brisbane,Australia,Technology,Accessories,entre 9 y 10,0.1,High,November,50.36210526315789
1624,Standard Class,Consumer,Villa Nueva,Guatemala,Technology,Phones,entre 5 y 6,0.0,Low,November,44.309090909090905
1625,First Class,Consumer,Brisbane,Australia,Furniture,Chairs,entre 5 y 6,0.1,High,June,39.64090909090909
1626,Second Class,Consumer,Adelaide,Australia,Furniture,Tables,entre 3 y 4,0.3,High,May,152.51399999999998
1627,Second Class,Home Office,Adelaide,Australia,Furniture,Chairs,entre 9 y 10,0.1,Medium,October,68.04
1628,Standard Class,Consumer,Melbourne,Australia,Furniture,Bookcases,entre 1 y 2,0.1,Medium,September,436.068
1629,Standard Class,Consumer,Singapore,Singapore,Technology,Copiers,entre 1 y 2,0.0,Medium,August,254.64
1630,Standard Class,Corporate,Lahore,Pakistan,Technology,Phones,entre 3 y 4,0.5,Medium,July,96.90857142857143
1631,First Class,Corporate,Kinshasa,Democratic Republic of the Congo,Technology,Machines,entre 1 y 2,0.0,Medium,November,177.1
1632,First Class,Home Office,Surabaya,Indonesia,Furniture,Chairs,entre 1 y 2,0.27,Medium,February,166.9364
1633,Standard Class,Consumer,Mixco,Guatemala,Office Supplies,Storage,entre 5 y 6,0.0,Medium,March,153.90545454545455
1634,Standard Class,Consumer,Cairo,Egypt,Technology,Phones,entre 3 y 4,0.0,Medium,June,190.73142857142855
1635,Standard Class,Corporate,London,United Kingdom,Technology,Copiers,entre 5 y 6,0.1,Medium,October,138.52472727272726
1636,First Class,Consumer,Istanbul,Turkey,Furniture,Bookcases,entre 1 y 2,0.6,High,December,116.83999999999999
1637,Standard Class,Consumer,Melbourne,Australia,Technology,Copiers,entre 3 y 4,0.1,Medium,September,184.68
1638,Standard Class,Consumer,San Pedro Sula,Honduras,Technology,Copiers,entre 3 y 4,0.402,High,September,67.57741714285714
1639,Standard Class,Home Office,Panama City,Panama,Furniture,Chairs,entre 7 y 8,0.4,High,September,75.81439999999999
1640,First Class,Consumer,Tegucigalpa,Honduras,Office Supplies,Storage,entre 1 y 2,0.4,Medium,November,105.552
1641,Standard Class,Consumer,Managua,Nicaragua,Furniture,Bookcases,entre 1 y 2,0.0,Low,June,366.82666666666665
1642,First Class,Consumer,Casablanca,Morocco,Furniture,Tables,entre 1 y 2,0.0,Medium,May,179.51999999999998
1643,Second Class,Consumer,São Paulo,Brazil,Office Supplies,Storage,entre 3 y 4,0.0,Medium,November,102.55999999999999
1644,First Class,Consumer,Panama City,Panama,Furniture,Chairs,entre 7 y 8,0.4,Medium,December,25.9728
1645,Standard Class,Corporate,London,United Kingdom,Furniture,Chairs,entre 1 y 2,0.1,High,February,179.208
1646,Standard Class,Consumer,Berlin,Germany,Office Supplies,Storage,entre 7 y 8,0.2,Low,September,43.2096
1647,Standard Class,Home Office,Manila,Philippines,Technology,Accessories,entre 9 y 10,0.45,Medium,December,58.462105263157895
1648,First Class,Consumer,Tegucigalpa,Honduras,Office Supplies,Envelopes,entre 5 y 6,0.4,High,October,21.809454545454546
1649,Second Class,Consumer,Melbourne,Australia,Office Supplies,Appliances,entre 1 y 2,0.1,High,September,165.96
1650,Standard Class,Corporate,Mexico City,Mexico,Technology,Phones,entre 5 y 6,0.0,Medium,March,99.38181818181819
1651,Standard Class,Corporate,Manila,Philippines,Furniture,Chairs,entre 3 y 4,0.25,Medium,October,138.88285714285715
1652,Standard Class,Consumer,Santiago de Cuba,Cuba,Technology,Phones,entre 5 y 6,0.0,Medium,December,101.10909090909091
1653,Standard Class,Consumer,Lahore,Pakistan,Furniture,Chairs,entre 1 y 2,0.2,Medium,October,253.792
1654,Standard Class,Consumer,Rome,Italy,Technology,Phones,entre 3 y 4,0.4,Medium,May,116.352
1655,Standard Class,Home Office,Manila,Philippines,Technology,Copiers,entre 5 y 6,0.35,Medium,December,102.3430909090909
1656,Standard Class,Consumer,Managua,Nicaragua,Technology,Copiers,entre 3 y 4,0.002,High,April,109.11846857142858
1657,Standard Class,Consumer,Adelaide,Australia,Office Supplies,Paper,entre 5 y 6,0.1,Low,August,38.53636363636363
1658,Standard Class,Consumer,Cairo,Egypt,Office Supplies,Appliances,entre 3 y 4,0.0,Medium,September,352.08
1659,Standard Class,Consumer,Madrid,Spain,Office Supplies,Storage,entre 5 y 6,0.1,Medium,September,105.02999999999999
1660,Second Class,Home Office,Mixco,Guatemala,Furniture,Chairs,entre 3 y 4,0.0,Medium,November,92.12571428571428
1661,Standard Class,Corporate,Tegucigalpa,Honduras,Office Supplies,Appliances,entre 3 y 4,0.4,High,September,105.81942857142857
1662,Standard Class,Home Office,Manila,Philippines,Office Supplies,Storage,entre 3 y 4,0.45,High,June,99.99
1663,First Class,Consumer,Mexico City,Mexico,Furniture,Chairs,entre 1 y 2,0.2,Critical,June,123.69066666666667
1664,First Class,Consumer,Istanbul,Turkey,Technology,Copiers,entre 1 y 2,0.6,Medium,November,138.84799999999998
1665,Same Day,Corporate,Tegucigalpa,Honduras,Office Supplies,Supplies,entre 7 y 8,0.4,Critical,August,20.646400000000003
1666,Standard Class,Home Office,Berlin,Germany,Technology,Copiers,entre 5 y 6,0.1,Medium,December,106.47818181818182
1667,Second Class,Consumer,Alexandria,Egypt,Office Supplies,Appliances,entre 1 y 2,0.0,High,December,127.08
1668,First Class,Consumer,Jakarta,Indonesia,Furniture,Furnishings,entre 9 y 10,0.27,High,April,19.47947368421053
1669,Standard Class,Home Office,Berlin,Germany,Furniture,Bookcases,entre 3 y 4,0.2,Low,June,114.59657142857144
1670,Same Day,Consumer,Jakarta,Indonesia,Technology,Phones,entre 5 y 6,0.17,High,January,111.50672727272728
1671,Standard Class,Corporate,San Salvador,El Salvador,Furniture,Chairs,entre 3 y 4,0.0,High,March,75.70285714285714
1672,Standard Class,Consumer,San Pedro Sula,Honduras,Technology,Copiers,entre 7 y 8,0.402,Low,March,110.00808
1673,Standard Class,Corporate,Berlin,Germany,Office Supplies,Storage,entre 5 y 6,0.2,High,November,44.85818181818182
1674,Same Day,Home Office,Ho Chi Minh City,Vietnam,Office Supplies,Binders,entre 3 y 4,0.17,Critical,March,47.55188571428572
1675,Second Class,Corporate,Santo Domingo,Dominican Republic,Technology,Accessories,entre 5 y 6,0.2,Critical,December,20.13090909090909
1676,Standard Class,Consumer,Mexico City,Mexico,Technology,Phones,entre 5 y 6,0.0,Medium,November,105.12727272727274
1677,Standard Class,Consumer,Mexico City,Mexico,Technology,Copiers,entre 3 y 4,0.002,Medium,May,199.44031999999999
1678,Standard Class,Consumer,Riyadh,Saudi Arabia,Furniture,Chairs,entre 1 y 2,0.0,High,March,214.96
1679,Standard Class,Consumer,Paris,France,Technology,Accessories,entre 3 y 4,0.0,Low,April,132.9257142857143
1680,Standard Class,Home Office,Jakarta,Indonesia,Furniture,Furnishings,entre 13 y14,0.27,Low,November,17.714666666666666
1681,Second Class,Corporate,Cairo,Egypt,Technology,Copiers,entre 1 y 2,0.0,High,September,159.52
1682,Second Class,Corporate,Mexico City,Mexico,Furniture,Bookcases,entre 5 y 6,0.2,Medium,October,96.04363636363637
1683,Same Day,Consumer,London,United Kingdom,Furniture,Chairs,entre 3 y 4,0.1,High,March,72.48342857142858
1684,Second Class,Corporate,Ho Chi Minh City,Vietnam,Technology,Phones,entre 3 y 4,0.17,Medium,October,98.02774285714285
1685,First Class,Corporate,Cairo,Egypt,Office Supplies,Art,entre 1 y 2,0.0,Critical,June,68.48
1686,Standard Class,Home Office,Cairo,Egypt,Office Supplies,Storage,entre 3 y 4,0.0,Medium,March,147.29142857142855
1687,Standard Class,Corporate,Managua,Nicaragua,Furniture,Furnishings,entre 7 y 8,0.0,Medium,October,80.55466666666666
1688,First Class,Consumer,Adelaide,Australia,Furniture,Chairs,entre 5 y 6,0.1,High,November,45.43363636363636
1689,Second Class,Consumer,Tegucigalpa,Honduras,Technology,Copiers,entre 3 y 4,0.402,Medium,June,164.11853714285715
1690,Standard Class,Home Office,Sydney,Australia,Technology,Copiers,entre 3 y 4,0.1,Medium,June,112.24285714285715
1691,Standard Class,Home Office,Berlin,Germany,Technology,Phones,entre 5 y 6,0.1,Low,June,58.78636363636363
1692,Standard Class,Consumer,Jakarta,Indonesia,Furniture,Tables,entre 1 y 2,0.47,Low,April,200.6156
1693,First Class,Consumer,Newcastle,South Africa,Technology,Accessories,entre 1 y 2,0.0,Medium,November,165.02
1694,Standard Class,Consumer,Gold Coast,Australia,Office Supplies,Storage,entre 3 y 4,0.1,High,June,132.0377142857143
1695,Standard Class,Corporate,Brisbane,Australia,Furniture,Chairs,entre 5 y 6,0.1,High,June,60.946363636363635
1696,Standard Class,Corporate,Gold Coast,Australia,Technology,Accessories,entre 5 y 6,0.1,High,September,39.125454545454545
1697,Standard Class,Consumer,Manila,Philippines,Technology,Phones,entre 3 y 4,0.25,Medium,November,157.1657142857143
1698,Standard Class,Corporate,Istanbul,Turkey,Furniture,Furnishings,entre 9 y 10,0.6,High,November,22.30736842105263
1699,Standard Class,Consumer,Canberra,Australia,Technology,Copiers,entre 3 y 4,0.4,High,September,76.49485714285716
1700,Standard Class,Consumer,Singapore,Singapore,Technology,Phones,entre 7 y 8,0.0,Medium,October,148.64
1701,Standard Class,Corporate,Buenos Aires,Argentina,Furniture,Bookcases,entre 3 y 4,0.4,High,November,76.81371428571428
1702,First Class,Consumer,Melbourne,Australia,Technology,Accessories,entre 5 y 6,0.1,Medium,November,45.684
1703,Standard Class,Corporate,Rome,Italy,Office Supplies,Art,entre 5 y 6,0.0,Low,August,45.32727272727273
1704,Second Class,Consumer,Jakarta,Indonesia,Technology,Copiers,entre 1 y 2,0.07,Medium,August,239.2332
1705,Same Day,Corporate,Surabaya,Indonesia,Office Supplies,Art,entre 9 y 10,0.27,High,May,32.90532631578947
1706,Standard Class,Consumer,Surabaya,Indonesia,Furniture,Chairs,entre 9 y 10,0.27,Medium,October,58.42458947368421
1707,Standard Class,Corporate,Surabaya,Indonesia,Furniture,Chairs,entre 3 y 4,0.27,Medium,February,112.55348571428571
1708,Second Class,Corporate,Madrid,Spain,Furniture,Furnishings,entre 3 y 4,0.0,High,November,57.49714285714286
1709,First Class,Home Office,Gold Coast,Australia,Furniture,Furnishings,entre 7 y 8,0.1,High,August,42.192
1710,Standard Class,Consumer,Sydney,Australia,Technology,Phones,entre 1 y 2,0.1,High,May,183.744
1711,Standard Class,Home Office,Berlin,Germany,Furniture,Chairs,entre 3 y 4,0.2,Medium,November,128.832
1712,Standard Class,Corporate,Riyadh,Saudi Arabia,Technology,Accessories,entre 5 y 6,0.0,Medium,May,126.88363636363637
1713,Standard Class,Consumer,Brisbane,Australia,Technology,Machines,entre 7 y 8,0.1,High,December,100.2204
1714,Second Class,Consumer,Cairo,Egypt,Technology,Accessories,entre 1 y 2,0.0,Medium,October,329.76
1715,Standard Class,Consumer,Manila,Philippines,Technology,Phones,entre 3 y 4,0.25,High,November,80.09357142857142
1716,Standard Class,Consumer,Vienna,Austria,Technology,Phones,entre 5 y 6,0.0,Medium,September,66.46363636363637
1717,Second Class,Consumer,Kinshasa,Democratic Republic of the Congo,Furniture,Tables,entre 1 y 2,0.0,Medium,August,310.0
1718,First Class,Home Office,São Paulo,Brazil,Furniture,Bookcases,entre 5 y 6,0.0,High,October,88.65454545454546
1719,Standard Class,Consumer,Bangkok,Thailand,Furniture,Furnishings,entre 7 y 8,0.27,Medium,December,74.87172000000001
1720,Standard Class,Corporate,Yangon,Myanmar (Burma),Furniture,Tables,entre 5 y 6,0.57,Medium,January,149.31163636363638
1721,Standard Class,Home Office,San Pedro Sula,Honduras,Technology,Accessories,entre 3 y 4,0.4,Medium,November,88.78628571428571
1722,First Class,Corporate,Vienna,Austria,Furniture,Furnishings,entre 3 y 4,0.0,Medium,January,41.81142857142857
1723,Standard Class,Corporate,Surabaya,Indonesia,Technology,Phones,entre 7 y 8,0.17,Medium,July,51.453359999999996
1724,Standard Class,Consumer,Berlin,Germany,Technology,Copiers,entre 1 y 2,0.1,Low,April,176.148
1725,First Class,Consumer,San Pedro Sula,Honduras,Technology,Accessories,entre 3 y 4,0.4,Critical,November,47.437714285714286
1726,Standard Class,Consumer,Canberra,Australia,Furniture,Chairs,entre 1 y 2,0.0,High,May,182.88
1727,First Class,Consumer,Santo Domingo,Dominican Republic,Furniture,Bookcases,entre 3 y 4,0.4,Medium,November,89.93828571428571
1728,Standard Class,Home Office,San Miguelito,Panama,Furniture,Tables,entre 5 y 6,0.7,Medium,November,116.42399999999999
1729,Standard Class,Corporate,Jakarta,Indonesia,Furniture,Chairs,entre 5 y 6,0.27,Medium,December,89.53118181818182
1730,Standard Class,Consumer,Buenos Aires,Argentina,Furniture,Bookcases,entre 3 y 4,0.4,High,August,67.176
1731,Standard Class,Consumer,São Paulo,Brazil,Furniture,Chairs,entre 7 y 8,0.0,High,September,52.21066666666666
1732,Second Class,Consumer,Gold Coast,Australia,Technology,Phones,entre 5 y 6,0.1,High,October,59.81727272727273
1733,Second Class,Corporate,Managua,Nicaragua,Office Supplies,Storage,entre 3 y 4,0.0,Critical,November,31.23428571428571
1734,Standard Class,Consumer,Manila,Philippines,Furniture,Bookcases,entre 3 y 4,0.35,Medium,October,270.23657142857144
1735,Second Class,Consumer,Rome,Italy,Technology,Phones,entre 5 y 6,0.4,High,January,40.663636363636364
1736,Second Class,Consumer,Sydney,Australia,Furniture,Furnishings,entre 5 y 6,0.1,High,April,21.825818181818182
1737,Second Class,Consumer,San Miguelito,Panama,Technology,Copiers,entre 3 y 4,0.402,High,September,65.87568
1738,Standard Class,Consumer,Paris,France,Office Supplies,Paper,entre 5 y 6,0.0,Low,December,42.35454545454545
1739,Standard Class,Consumer,Vienna,Austria,Technology,Machines,entre 5 y 6,0.0,Medium,April,77.50909090909092
1740,First Class,Home Office,Surabaya,Indonesia,Furniture,Furnishings,entre 7 y 8,0.27,Medium,November,29.98548
1741,Standard Class,Home Office,Melbourne,Australia,Furniture,Chairs,entre 1 y 2,0.1,Medium,March,279.0
1742,Standard Class,Consumer,Santiago de Cuba,Cuba,Office Supplies,Appliances,entre 9 y 10,0.0,High,December,37.89473684210526
1743,Standard Class,Consumer,Vienna,Austria,Technology,Accessories,entre 3 y 4,0.0,Medium,July,132.9257142857143
1744,Standard Class,Corporate,Mexico City,Mexico,Technology,Copiers,entre 5 y 6,0.002,Medium,July,104.57225454545454
1745,Standard Class,Consumer,Berlin,Germany,Office Supplies,Storage,entre 5 y 6,0.2,Medium,October,93.40363636363637
1746,Second Class,Consumer,Manila,Philippines,Office Supplies,Storage,entre 3 y 4,0.45,High,January,96.46842857142857
1747,Same Day,Home Office,Paris,France,Office Supplies,Paper,entre 3 y 4,0.0,Critical,December,30.13714285714286
1748,First Class,Corporate,Panama City,Panama,Technology,Phones,entre 7 y 8,0.4,High,June,30.072
1749,Standard Class,Consumer,Berlin,Germany,Technology,Machines,entre 1 y 2,0.1,Medium,November,210.20399999999998
1750,Second Class,Consumer,Canberra,Australia,Technology,Copiers,entre 3 y 4,0.4,High,May,82.28571428571429
1751,First Class,Corporate,Manila,Philippines,Office Supplies,Appliances,entre 3 y 4,0.15,Critical,June,28.676571428571428
1752,Standard Class,Consumer,Singapore,Singapore,Office Supplies,Appliances,entre 1 y 2,0.0,Medium,October,350.72
1753,Standard Class,Home Office,Bangkok,Thailand,Technology,Phones,entre 3 y 4,0.17,Low,August,135.76902857142858
1754,Standard Class,Consumer,Singapore,Singapore,Office Supplies,Storage,entre 7 y 8,0.0,Medium,October,118.49600000000001
1755,Standard Class,Corporate,Mexico City,Mexico,Office Supplies,Appliances,entre 3 y 4,0.0,Medium,November,176.04
1756,Standard Class,Home Office,Panama City,Panama,Technology,Phones,entre 5 y 6,0.4,Low,June,55.24363636363636
1757,Standard Class,Consumer,Ho Chi Minh City,Vietnam,Furniture,Bookcases,entre 1 y 2,0.37,Medium,November,305.5752
1758,Standard Class,Corporate,Panama City,Panama,Furniture,Bookcases,entre 3 y 4,0.4,Medium,June,124.4057142857143
1759,Standard Class,Corporate,London,United Kingdom,Office Supplies,Storage,entre 3 y 4,0.1,Medium,June,98.68114285714286
1760,Standard Class,Consumer,Brisbane,Australia,Technology,Phones,entre 7 y 8,0.1,Medium,February,61.614000000000004
1761,Standard Class,Consumer,Jakarta,Indonesia,Office Supplies,Storage,entre 5 y 6,0.17,Low,April,36.55772727272727
1762,Second Class,Consumer,Lagos,Nigeria,Technology,Copiers,entre 1 y 2,0.7,High,April,152.04
1763,Standard Class,Consumer,Gold Coast,Australia,Technology,Copiers,entre 3 y 4,0.1,Medium,July,123.05828571428572
1764,Second Class,Home Office,Lima,Peru,Furniture,Bookcases,entre 3 y 4,0.4,High,September,67.73485714285714
1765,Standard Class,Home Office,Santiago de Cuba,Cuba,Furniture,Chairs,entre 3 y 4,0.0,High,July,73.71428571428571
1766,First Class,Consumer,Casablanca,Morocco,Technology,Machines,entre 3 y 4,0.0,Medium,May,183.6
1767,Second Class,Corporate,London,United Kingdom,Technology,Accessories,entre 3 y 4,0.1,Medium,July,102.93942857142858
1768,Standard Class,Consumer,Berlin,Germany,Technology,Machines,entre 1 y 2,0.1,Low,September,143.28
1769,First Class,Corporate,San Pedro Sula,Honduras,Office Supplies,Paper,entre 9 y 10,0.4,Critical,May,10.606736842105263
1770,Second Class,Consumer,São Paulo,Brazil,Technology,Copiers,entre 1 y 2,0.002,Critical,October,335.7272
1771,Standard Class,Corporate,Berlin,Germany,Furniture,Chairs,entre 7 y 8,0.2,Medium,July,43.0752
1772,First Class,Home Office,Tegucigalpa,Honduras,Furniture,Bookcases,entre 3 y 4,0.4,Medium,November,41.66742857142857
1773,First Class,Corporate,São Paulo,Brazil,Furniture,Bookcases,entre 3 y 4,0.0,Medium,October,82.83428571428571
1774,First Class,Consumer,Paris,France,Technology,Machines,entre 5 y 6,0.15,Medium,December,39.89590909090909
1775,Standard Class,Consumer,Brisbane,Australia,Office Supplies,Storage,entre 3 y 4,0.1,Medium,June,163.27285714285716
1776,Second Class,Home Office,Brisbane,Australia,Technology,Accessories,entre 1 y 2,0.1,Critical,September,50.076
1777,Standard Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Appliances,entre 5 y 6,0.2,High,October,37.556363636363635
1778,Standard Class,Consumer,Manila,Philippines,Furniture,Bookcases,entre 1 y 2,0.35,High,April,129.844
1779,First Class,Consumer,Santo Domingo,Dominican Republic,Furniture,Bookcases,entre 3 y 4,0.4,Medium,January,51.202285714285715
1780,First Class,Home Office,Surabaya,Indonesia,Technology,Copiers,entre 1 y 2,0.07,Medium,February,107.1918
1781,Standard Class,Corporate,Jakarta,Indonesia,Technology,Machines,entre 1 y 2,0.17,Medium,December,297.14
1782,Second Class,Consumer,Adelaide,Australia,Technology,Accessories,entre 3 y 4,0.1,Critical,December,65.54057142857143
1783,Standard Class,Corporate,Lagos,Nigeria,Furniture,Bookcases,entre 11 y 12,0.7,Medium,August,39.60313043478261
