,Ship Mode,Segment,City,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
1143,Second Class,Corporate,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Medium,March,63.40571428571428
1144,First Class,Consumer,New York City,Technology,Accessories,entre 3 y 4,0.0,High,November,25.25714285714286
1145,Second Class,Corporate,New York City,Office Supplies,Storage,entre 3 y 4,0.0,Critical,February,18.56
1146,First Class,Home Office,New York City,Office Supplies,Paper,entre 1 y 2,0.0,Critical,April,36.986666666666665
1147,Second Class,Consumer,New York City,Technology,Phones,entre 13 y14,0.0,High,September,20.73037037037037
1148,Standard Class,Consumer,San Francisco,Furniture,Tables,entre 3 y 4,0.2,Medium,October,72.336
1149,Standard Class,Consumer,New York City,Furniture,Chairs,entre 1 y 2,0.1,Medium,March,181.17600000000002
1150,First Class,Corporate,New York City,Office Supplies,Storage,entre 3 y 4,0.0,Critical,November,20.271428571428572
1151,First Class,Consumer,San Francisco,Office Supplies,Binders,entre 1 y 2,0.2,Critical,May,33.04533333333333
1152,Standard Class,Home Office,Philadelphia,Office Supplies,Storage,entre 9 y 10,0.2,Medium,July,29.90315789473684
1153,Standard Class,Corporate,Los Angeles,Office Supplies,Storage,entre 3 y 4,0.0,High,October,115.89714285714285
1154,First Class,Home Office,New York City,Office Supplies,Storage,entre 1 y 2,0.0,High,September,47.32
1155,Second Class,Corporate,San Francisco,Technology,Phones,entre 3 y 4,0.2,Medium,June,35.99314285714286
1156,Standard Class,Corporate,New York City,Technology,Phones,entre 1 y 2,0.0,Medium,August,90.66000000000001
1157,Second Class,Home Office,San Diego,Office Supplies,Paper,entre 3 y 4,0.0,High,April,41.05714285714286
1158,Standard Class,Consumer,Philadelphia,Technology,Phones,entre 1 y 2,0.4,Low,October,219.992
1159,Standard Class,Corporate,New York City,Furniture,Furnishings,entre 5 y 6,0.0,Medium,May,39.03636363636363
1160,Same Day,Corporate,Philadelphia,Furniture,Furnishings,entre 7 y 8,0.2,High,November,9.393066666666666
1161,Second Class,Consumer,San Diego,Office Supplies,Paper,entre 3 y 4,0.0,Critical,December,26.554285714285715
1162,Standard Class,Consumer,Philadelphia,Furniture,Chairs,entre 1 y 2,0.3,High,July,114.79066666666667
1163,Standard Class,Corporate,San Francisco,Office Supplies,Envelopes,entre 3 y 4,0.0,High,October,60.24
1164,Second Class,Corporate,Los Angeles,Furniture,Chairs,entre 1 y 2,0.2,Medium,July,130.12266666666667
1165,Second Class,Consumer,Dallas,Office Supplies,Paper,entre 3 y 4,0.2,Critical,August,15.414857142857143
1166,Second Class,Consumer,Dallas,Technology,Accessories,entre 1 y 2,0.2,Critical,November,63.328
1167,Standard Class,Corporate,New York City,Office Supplies,Paper,entre 5 y 6,0.0,Medium,December,50.89090909090908
1168,Second Class,Corporate,San Francisco,Office Supplies,Storage,entre 5 y 6,0.0,Medium,March,123.0090909090909
1169,Same Day,Consumer,Los Angeles,Office Supplies,Storage,entre 1 y 2,0.0,Critical,October,51.919999999999995
1170,Standard Class,Corporate,San Diego,Furniture,Furnishings,entre 1 y 2,0.0,Medium,February,140.38666666666668
1171,Standard Class,Corporate,Seattle,Office Supplies,Storage,entre 1 y 2,0.0,Low,November,131.72
1172,Standard Class,Consumer,New York City,Office Supplies,Storage,entre 5 y 6,0.0,Medium,December,34.88727272727272
1173,Second Class,Consumer,San Diego,Technology,Accessories,entre 9 y 10,0.0,High,October,15.612631578947367
1174,Standard Class,Consumer,Los Angeles,Technology,Accessories,entre 7 y 8,0.0,Low,May,17.546666666666667
1175,Standard Class,Consumer,Houston,Technology,Machines,entre 3 y 4,0.4,Medium,November,82.26
1176,First Class,Consumer,Los Angeles,Office Supplies,Art,entre 3 y 4,0.0,High,April,35.40571428571429
1177,Standard Class,Corporate,San Francisco,Technology,Accessories,entre 3 y 4,0.0,Medium,October,68.56285714285714
1178,Standard Class,Corporate,Columbus,Office Supplies,Storage,entre 3 y 4,0.0,Medium,August,98.5457142857143
1179,First Class,Home Office,New York City,Technology,Phones,entre 5 y 6,0.0,Critical,October,13.047272727272729
1180,First Class,Consumer,New York City,Furniture,Tables,entre 9 y 10,0.4,Medium,August,40.29536842105263
1181,Standard Class,Corporate,Los Angeles,Office Supplies,Storage,entre 1 y 2,0.0,Medium,August,215.4
1182,Standard Class,Consumer,San Francisco,Furniture,Chairs,entre 3 y 4,0.2,Medium,December,65.79428571428572
1183,Standard Class,Consumer,Los Angeles,Technology,Machines,entre 3 y 4,0.2,High,April,82.27657142857143
1184,Second Class,Corporate,San Francisco,Technology,Accessories,entre 3 y 4,0.0,High,March,31.988571428571426
1185,Standard Class,Home Office,Columbus,Office Supplies,Paper,entre 7 y 8,0.0,High,September,24.621333333333332
1186,Standard Class,Consumer,Los Angeles,Furniture,Chairs,entre 3 y 4,0.2,Medium,March,48.672000000000004
1187,Second Class,Home Office,Los Angeles,Office Supplies,Paper,entre 3 y 4,0.0,Medium,February,63.97714285714285
1188,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 7 y 8,0.0,Low,May,24.362666666666666
1189,Standard Class,Consumer,San Francisco,Technology,Phones,entre 1 y 2,0.2,Medium,November,383.94666666666666
1190,Same Day,Consumer,Seattle,Technology,Accessories,entre 1 y 2,0.0,High,September,133.32
1191,Standard Class,Corporate,New York City,Furniture,Bookcases,entre 3 y 4,0.2,Medium,December,82.27885714285715
1192,Standard Class,Consumer,New York City,Technology,Accessories,entre 5 y 6,0.0,Medium,May,36.35454545454545
1193,Standard Class,Consumer,New York City,Office Supplies,Appliances,entre 1 y 2,0.0,Medium,May,138.77333333333334
1194,Second Class,Consumer,Houston,Office Supplies,Envelopes,entre 5 y 6,0.2,Critical,May,10.193454545454545
1195,Standard Class,Home Office,New York City,Office Supplies,Storage,entre 3 y 4,0.0,Medium,October,98.5457142857143
1196,First Class,Corporate,San Francisco,Office Supplies,Appliances,entre 1 y 2,0.0,Critical,September,29.040000000000003
1197,First Class,Consumer,Los Angeles,Technology,Phones,entre 3 y 4,0.2,High,May,15.76457142857143
1198,Standard Class,Corporate,Chicago,Office Supplies,Storage,entre 5 y 6,0.2,Medium,September,42.89454545454545
1199,Second Class,Corporate,Los Angeles,Office Supplies,Paper,entre 3 y 4,0.0,Critical,April,22.611428571428572
1200,Second Class,Home Office,Los Angeles,Technology,Accessories,entre 1 y 2,0.0,High,October,106.65333333333332
1201,Standard Class,Consumer,San Francisco,Furniture,Bookcases,entre 1 y 2,0.15,Medium,March,137.11066666666667
1202,First Class,Consumer,Columbus,Office Supplies,Appliances,entre 3 y 4,0.0,High,December,17.554285714285715
1203,Standard Class,Consumer,Los Angeles,Technology,Accessories,entre 1 y 2,0.0,Medium,March,110.82666666666667
1204,First Class,Home Office,Houston,Office Supplies,Paper,entre 5 y 6,0.2,Medium,July,29.810909090909092
1205,Standard Class,Corporate,New York City,Furniture,Chairs,entre 1 y 2,0.1,Medium,July,272.00399999999996
1206,Second Class,Consumer,New York City,Furniture,Furnishings,entre 3 y 4,0.0,High,September,33.53142857142857
1207,First Class,Corporate,Philadelphia,Furniture,Furnishings,entre 1 y 2,0.2,Medium,July,112.30933333333333
1208,Second Class,Consumer,San Francisco,Furniture,Tables,entre 3 y 4,0.2,High,July,48.672000000000004
1209,Standard Class,Consumer,San Diego,Office Supplies,Paper,entre 1 y 2,0.0,High,June,74.64
1210,Second Class,Consumer,New York City,Technology,Accessories,entre 5 y 6,0.0,High,July,24.10909090909091
1211,Standard Class,Corporate,Seattle,Technology,Accessories,entre 7 y 8,0.0,Medium,March,35.45733333333333
1212,First Class,Home Office,Los Angeles,Technology,Accessories,entre 5 y 6,0.0,High,December,71.81818181818181
1213,Second Class,Consumer,Seattle,Furniture,Bookcases,entre 1 y 2,0.0,Critical,January,32.38666666666666
1214,First Class,Corporate,Chicago,Office Supplies,Appliances,entre 9 y 10,0.8,Critical,July,6.154105263157895
1215,First Class,Consumer,San Francisco,Office Supplies,Binders,entre 1 y 2,0.2,Critical,May,41.664
1216,Standard Class,Corporate,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Medium,March,56.22171428571429
1217,First Class,Consumer,Philadelphia,Furniture,Furnishings,entre 5 y 6,0.2,High,December,14.385454545454547
1218,First Class,Corporate,Philadelphia,Office Supplies,Storage,entre 1 y 2,0.2,Medium,April,221.80266666666668
1219,Same Day,Corporate,Columbus,Office Supplies,Storage,entre 5 y 6,0.2,Critical,December,11.81090909090909
1220,Standard Class,Consumer,Philadelphia,Office Supplies,Appliances,entre 3 y 4,0.2,Medium,April,55.74400000000001
1221,Standard Class,Consumer,New York City,Office Supplies,Storage,entre 3 y 4,0.0,Medium,February,69.41142857142857
1222,Standard Class,Corporate,Springfield,Technology,Phones,entre 3 y 4,0.2,Medium,September,54.85028571428571
1223,Standard Class,Consumer,Los Angeles,Furniture,Chairs,entre 3 y 4,0.2,Medium,November,55.52914285714286
1224,First Class,Consumer,New York City,Office Supplies,Art,entre 5 y 6,0.0,Critical,September,10.5
1225,Standard Class,Consumer,Philadelphia,Furniture,Chairs,entre 3 y 4,0.3,Medium,July,56.784
1226,First Class,Consumer,New York City,Furniture,Furnishings,entre 3 y 4,0.0,High,December,32.511428571428574
1227,Second Class,Home Office,San Francisco,Office Supplies,Paper,entre 3 y 4,0.0,High,September,41.94857142857143
1228,Second Class,Consumer,San Francisco,Office Supplies,Supplies,entre 5 y 6,0.0,High,July,1488.6636363636362
1229,Second Class,Consumer,Seattle,Furniture,Tables,entre 1 y 2,0.0,Medium,March,114.64
1230,Second Class,Consumer,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Medium,September,39.839999999999996
1231,Standard Class,Corporate,Los Angeles,Office Supplies,Storage,entre 1 y 2,0.0,Medium,December,180.41333333333333
1232,Second Class,Home Office,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Critical,October,21.654857142857143
1233,Standard Class,Consumer,Columbus,Office Supplies,Appliances,entre 1 y 2,0.0,Low,May,310.1066666666667
1234,Second Class,Consumer,Los Angeles,Office Supplies,Appliances,entre 3 y 4,0.0,High,November,37.12
1235,Standard Class,Consumer,San Francisco,Furniture,Chairs,entre 3 y 4,0.2,High,August,55.753142857142855
1236,Second Class,Consumer,Chicago,Technology,Accessories,entre 3 y 4,0.2,Medium,September,68.56457142857143
1237,Second Class,Home Office,Houston,Furniture,Furnishings,entre 5 y 6,0.6,High,March,18.818181818181817
1238,Standard Class,Home Office,Seattle,Office Supplies,Storage,entre 1 y 2,0.0,Medium,September,206.74666666666667
1239,Standard Class,Home Office,Seattle,Technology,Phones,entre 1 y 2,0.2,High,August,146.112
1240,Second Class,Consumer,Houston,Technology,Accessories,entre 1 y 2,0.2,Critical,September,38.38933333333333
1241,First Class,Consumer,Philadelphia,Technology,Accessories,entre 3 y 4,0.2,Critical,September,20.56457142857143
1242,Standard Class,Corporate,Dallas,Furniture,Furnishings,entre 9 y 10,0.6,Medium,July,34.950315789473684
1243,Standard Class,Corporate,Columbus,Office Supplies,Paper,entre 3 y 4,0.0,Medium,November,89.87142857142858
1244,First Class,Consumer,New York City,Technology,Accessories,entre 3 y 4,0.0,High,December,34.27428571428571
1245,Standard Class,Consumer,Los Angeles,Office Supplies,Envelopes,entre 3 y 4,0.0,Medium,December,77.55428571428571
1246,Standard Class,Corporate,New York City,Furniture,Chairs,entre 1 y 2,0.1,Medium,October,147.588
1247,Second Class,Corporate,Seattle,Office Supplies,Art,entre 5 y 6,0.0,Critical,September,18.036363636363635
1248,First Class,Corporate,Springfield,Technology,Accessories,entre 3 y 4,0.2,Medium,November,17.389714285714284
1249,Standard Class,Consumer,Philadelphia,Technology,Machines,entre 3 y 4,0.7,Medium,June,59.14028571428572
1250,Standard Class,Consumer,San Diego,Office Supplies,Binders,entre 7 y 8,0.2,Medium,November,15.665066666666666
1251,First Class,Corporate,San Diego,Office Supplies,Binders,entre 3 y 4,0.2,High,November,25.62742857142857
1252,Second Class,Home Office,New York City,Furniture,Chairs,entre 1 y 2,0.1,High,September,60.534
1253,Standard Class,Consumer,San Diego,Furniture,Chairs,entre 1 y 2,0.2,High,July,150.19733333333332
1254,First Class,Corporate,Los Angeles,Technology,Phones,entre 5 y 6,0.2,High,October,13.083636363636362
1255,Second Class,Consumer,New York City,Technology,Phones,entre 1 y 2,0.0,Medium,September,205.32000000000002
1256,Standard Class,Consumer,Philadelphia,Office Supplies,Envelopes,entre 3 y 4,0.2,Medium,October,57.552
1257,Second Class,Corporate,New York City,Furniture,Chairs,entre 3 y 4,0.1,Medium,January,59.38457142857143
1258,Standard Class,Consumer,Los Angeles,Furniture,Chairs,entre 1 y 2,0.2,Low,November,75.09866666666666
1259,Second Class,Consumer,New York City,Office Supplies,Binders,entre 5 y 6,0.2,Medium,November,19.531636363636366
1260,Same Day,Home Office,San Francisco,Office Supplies,Paper,entre 3 y 4,0.0,Critical,November,17.125714285714285
1261,Standard Class,Corporate,New York City,Technology,Phones,entre 1 y 2,0.0,High,December,86.65333333333332
1262,Standard Class,Consumer,Los Angeles,Furniture,Tables,entre 3 y 4,0.2,Medium,November,163.9222857142857
1263,First Class,Home Office,Los Angeles,Office Supplies,Binders,entre 3 y 4,0.2,Critical,December,25.851428571428574
1264,Standard Class,Corporate,New York City,Furniture,Furnishings,entre 3 y 4,0.0,High,July,44.519999999999996
1265,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Low,August,47.31428571428571
1266,Standard Class,Consumer,San Francisco,Furniture,Bookcases,entre 1 y 2,0.15,Medium,October,205.11066666666667
1267,Standard Class,Consumer,New York City,Furniture,Chairs,entre 3 y 4,0.1,Medium,September,139.61314285714286
1268,Standard Class,Consumer,Philadelphia,Technology,Copiers,entre 5 y 6,0.4,Medium,July,109.08545454545455
1269,Standard Class,Corporate,Columbus,Office Supplies,Paper,entre 5 y 6,0.0,Medium,November,28.778181818181817
1270,Standard Class,Consumer,New York City,Furniture,Bookcases,entre 3 y 4,0.2,Medium,October,89.81485714285714
1271,First Class,Consumer,Philadelphia,Furniture,Bookcases,entre 3 y 4,0.5,High,July,24.917142857142856
1272,Second Class,Corporate,Los Angeles,Office Supplies,Appliances,entre 3 y 4,0.0,High,September,17.554285714285715
1273,Second Class,Home Office,Houston,Technology,Accessories,entre 3 y 4,0.2,High,April,73.91314285714286
1274,Standard Class,Corporate,Los Angeles,Office Supplies,Storage,entre 5 y 6,0.0,High,October,14.6
1275,Second Class,Home Office,Seattle,Office Supplies,Storage,entre 3 y 4,0.0,High,December,41.92285714285714
1276,Second Class,Corporate,New York City,Furniture,Chairs,entre 3 y 4,0.1,Medium,December,54.91028571428571
1277,Standard Class,Home Office,Los Angeles,Technology,Phones,entre 1 y 2,0.2,Medium,December,166.38933333333333
1278,Second Class,Consumer,Philadelphia,Furniture,Chairs,entre 1 y 2,0.3,Critical,July,47.58133333333333
1279,Same Day,Home Office,Seattle,Technology,Phones,entre 3 y 4,0.2,Medium,July,20.56457142857143
1280,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 7 y 8,0.0,Medium,September,28.138666666666666
1281,Standard Class,Corporate,Springfield,Technology,Copiers,entre 1 y 2,0.0,High,November,399.99333333333334
1282,Standard Class,Consumer,New York City,Technology,Accessories,entre 1 y 2,0.0,Medium,September,141.86666666666667
1283,Standard Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,High,June,68.56285714285714
1284,Standard Class,Consumer,New York City,Technology,Accessories,entre 1 y 2,0.0,Medium,August,133.32
1285,Second Class,Consumer,Seattle,Office Supplies,Binders,entre 3 y 4,0.2,High,July,28.10057142857143
1286,Standard Class,Corporate,New York City,Office Supplies,Storage,entre 3 y 4,0.0,Low,October,28.534285714285716
1287,Standard Class,Consumer,San Diego,Furniture,Bookcases,entre 3 y 4,0.15,Medium,September,83.77114285714286
1288,First Class,Corporate,Philadelphia,Office Supplies,Storage,entre 3 y 4,0.2,High,December,49.353142857142856
1289,Standard Class,Corporate,San Francisco,Office Supplies,Paper,entre 3 y 4,0.0,Medium,September,41.05714285714286
1290,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 5 y 6,0.2,High,June,33.84436363636364
1291,Standard Class,Corporate,Los Angeles,Furniture,Chairs,entre 5 y 6,0.2,Medium,December,53.14036363636364
1292,First Class,Home Office,Seattle,Office Supplies,Binders,entre 5 y 6,0.2,High,December,15.258181818181818
1293,First Class,Consumer,New York City,Office Supplies,Storage,entre 5 y 6,0.0,High,December,14.65090909090909
1294,Standard Class,Corporate,Los Angeles,Furniture,Bookcases,entre 1 y 2,0.15,High,May,193.77733333333333
1295,First Class,Corporate,Houston,Office Supplies,Envelopes,entre 3 y 4,0.2,High,November,21.243428571428574
1296,First Class,Consumer,Seattle,Furniture,Furnishings,entre 1 y 2,0.0,High,November,93.27999999999999
1297,Standard Class,Corporate,Philadelphia,Office Supplies,Art,entre 7 y 8,0.2,Low,October,16.43413333333333
1298,Second Class,Home Office,Los Angeles,Office Supplies,Storage,entre 5 y 6,0.0,High,December,28.89090909090909
1299,Standard Class,Consumer,Chicago,Technology,Accessories,entre 3 y 4,0.2,Medium,December,73.13371428571428
1300,Standard Class,Corporate,San Francisco,Technology,Accessories,entre 7 y 8,0.0,Medium,November,22.154666666666667
1301,Second Class,Corporate,Chicago,Technology,Accessories,entre 5 y 6,0.2,Critical,November,11.345454545454546
1302,Standard Class,Home Office,Los Angeles,Technology,Accessories,entre 3 y 4,0.0,High,November,25.705714285714286
1303,Second Class,Corporate,Los Angeles,Technology,Accessories,entre 1 y 2,0.0,Medium,October,239.98666666666668
1304,Second Class,Corporate,Houston,Technology,Accessories,entre 3 y 4,0.2,Medium,September,38.393142857142855
1305,Second Class,Consumer,New York City,Office Supplies,Paper,entre 1 y 2,0.0,Medium,November,73.97333333333333
1306,Standard Class,Consumer,Los Angeles,Furniture,Chairs,entre 7 y 8,0.2,Medium,August,45.352533333333334
1307,Second Class,Consumer,San Diego,Office Supplies,Paper,entre 5 y 6,0.0,High,March,38.66181818181818
1308,Standard Class,Corporate,Chicago,Technology,Phones,entre 3 y 4,0.2,Medium,November,68.56457142857143
1309,Second Class,Consumer,Los Angeles,Furniture,Furnishings,entre 3 y 4,0.0,Medium,May,80.81142857142856
1310,Standard Class,Corporate,San Francisco,Furniture,Tables,entre 1 y 2,0.2,Medium,May,200.60266666666666
1311,First Class,Corporate,Philadelphia,Office Supplies,Art,entre 3 y 4,0.2,High,December,28.324571428571428
1312,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,Medium,July,37.26363636363636
1313,First Class,Corporate,Los Angeles,Office Supplies,Storage,entre 5 y 6,0.0,High,October,25.70909090909091
1314,Standard Class,Home Office,Chicago,Furniture,Tables,entre 1 y 2,0.5,High,June,72.61666666666666
1315,Standard Class,Consumer,Houston,Office Supplies,Storage,entre 1 y 2,0.2,Medium,November,118.432
1316,Standard Class,Corporate,Los Angeles,Office Supplies,Appliances,entre 3 y 4,0.0,High,March,40.19142857142857
1317,Second Class,Corporate,Los Angeles,Furniture,Tables,entre 1 y 2,0.2,Medium,October,95.62133333333333
1318,Same Day,Consumer,Dallas,Furniture,Furnishings,entre 5 y 6,0.6,High,October,23.886545454545455
1319,Standard Class,Corporate,New York City,Office Supplies,Art,entre 5 y 6,0.0,Medium,November,25.59090909090909
1320,Standard Class,Consumer,Philadelphia,Furniture,Bookcases,entre 3 y 4,0.5,Medium,August,86.13428571428572
1321,Standard Class,Consumer,New York City,Office Supplies,Supplies,entre 7 y 8,0.0,Medium,April,16.36133333333333
1322,Second Class,Consumer,Chicago,Furniture,Chairs,entre 3 y 4,0.3,Medium,September,48.592
1323,First Class,Corporate,Columbus,Office Supplies,Paper,entre 1 y 2,0.2,Medium,February,52.202666666666666
1324,First Class,Corporate,San Francisco,Office Supplies,Appliances,entre 3 y 4,0.0,High,November,68.98285714285714
1325,Second Class,Consumer,San Francisco,Technology,Phones,entre 3 y 4,0.2,High,August,60.99428571428571
1326,Standard Class,Corporate,Los Angeles,Office Supplies,Envelopes,entre 5 y 6,0.0,Medium,September,55.43636363636363
1327,Standard Class,Consumer,Los Angeles,Furniture,Furnishings,entre 1 y 2,0.0,High,September,136.4
1328,First Class,Corporate,New York City,Furniture,Chairs,entre 3 y 4,0.1,High,March,59.38457142857143
1329,Standard Class,Corporate,Los Angeles,Technology,Phones,entre 5 y 6,0.2,Low,August,16.72
1330,Standard Class,Consumer,Los Angeles,Furniture,Bookcases,entre 1 y 2,0.15,Medium,August,205.11066666666667
1331,First Class,Home Office,San Francisco,Office Supplies,Paper,entre 3 y 4,0.0,High,August,17.125714285714285
1332,Same Day,Corporate,New York City,Office Supplies,Storage,entre 5 y 6,0.0,Medium,November,12.20909090909091
1333,Same Day,Consumer,New York City,Office Supplies,Storage,entre 3 y 4,0.0,High,May,12.84
1334,First Class,Home Office,Houston,Furniture,Bookcases,entre 1 y 2,0.32,Medium,February,59.3776
1335,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 9 y 10,0.2,Medium,June,32.90021052631579
1336,Standard Class,Consumer,Springfield,Office Supplies,Storage,entre 3 y 4,0.0,Medium,July,69.41142857142857
1337,Same Day,Consumer,Columbus,Office Supplies,Art,entre 1 y 2,0.2,High,October,37.32266666666667
1338,Standard Class,Corporate,San Diego,Office Supplies,Art,entre 7 y 8,0.0,Medium,September,35.448
1339,Standard Class,Consumer,Chicago,Technology,Phones,entre 1 y 2,0.2,Medium,December,106.656
1340,Second Class,Corporate,Chicago,Furniture,Chairs,entre 3 y 4,0.3,High,May,30.534
1341,Standard Class,Corporate,New York City,Office Supplies,Storage,entre 5 y 6,0.0,Medium,December,38.70545454545454
1342,Standard Class,Consumer,Dallas,Office Supplies,Storage,entre 3 y 4,0.2,Medium,November,89.73942857142858
1343,Standard Class,Consumer,New York City,Furniture,Bookcases,entre 5 y 6,0.2,Medium,April,70.67345454545455
1344,First Class,Consumer,Los Angeles,Office Supplies,Storage,entre 1 y 2,0.0,High,January,76.30666666666666
1345,Standard Class,Consumer,Chicago,Furniture,Tables,entre 1 y 2,0.5,Medium,March,97.32
1346,Second Class,Home Office,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Critical,December,19.56342857142857
1347,Standard Class,Home Office,Chicago,Furniture,Chairs,entre 5 y 6,0.3,Medium,April,38.74818181818182
1348,Standard Class,Home Office,San Francisco,Furniture,Chairs,entre 1 y 2,0.2,Low,January,80.52266666666667
1349,Second Class,Home Office,Los Angeles,Office Supplies,Appliances,entre 1 y 2,0.0,Medium,December,126.0
1350,Standard Class,Consumer,Houston,Office Supplies,Envelopes,entre 3 y 4,0.2,Medium,April,42.672000000000004
1351,First Class,Home Office,Houston,Technology,Phones,entre 3 y 4,0.2,Medium,February,125.23885714285714
1352,Standard Class,Consumer,New York City,Technology,Accessories,entre 1 y 2,0.0,Medium,September,439.93333333333334
1353,Second Class,Corporate,Houston,Office Supplies,Storage,entre 5 y 6,0.2,High,May,23.258181818181818
1354,Standard Class,Consumer,Houston,Office Supplies,Binders,entre 3 y 4,0.8,Medium,February,72.224
1355,Second Class,Consumer,Los Angeles,Office Supplies,Binders,entre 1 y 2,0.2,Critical,December,61.97333333333333
1356,Standard Class,Consumer,Springfield,Furniture,Bookcases,entre 5 y 6,0.7,Medium,October,39.59345454545455
1357,Second Class,Consumer,New York City,Office Supplies,Paper,entre 1 y 2,0.0,High,September,51.68
1358,Standard Class,Consumer,Philadelphia,Office Supplies,Binders,entre 3 y 4,0.7,Medium,November,43.71171428571429
1359,First Class,Consumer,New York City,Office Supplies,Binders,entre 1 y 2,0.2,Medium,August,184.52266666666665
1360,Standard Class,Corporate,New York City,Technology,Accessories,entre 5 y 6,0.0,Medium,August,45.445454545454545
1361,Standard Class,Corporate,Los Angeles,Furniture,Furnishings,entre 3 y 4,0.0,Medium,August,42.291428571428575
1362,Standard Class,Consumer,Los Angeles,Furniture,Furnishings,entre 7 y 8,0.0,High,October,9.968
1363,First Class,Home Office,Columbus,Furniture,Chairs,entre 1 y 2,0.0,High,September,81.18666666666667
1364,Standard Class,Corporate,Philadelphia,Furniture,Chairs,entre 1 y 2,0.3,Medium,September,94.248
1365,Second Class,Home Office,Springfield,Technology,Phones,entre 5 y 6,0.0,Medium,May,20.900000000000002
1366,First Class,Consumer,Philadelphia,Furniture,Furnishings,entre 5 y 6,0.2,Critical,December,15.985454545454546
1367,Standard Class,Consumer,New York City,Office Supplies,Envelopes,entre 1 y 2,0.0,Low,November,111.97333333333334
1368,Standard Class,Corporate,New York City,Furniture,Furnishings,entre 3 y 4,0.0,Medium,July,52.54857142857143
1369,Standard Class,Consumer,Dallas,Office Supplies,Storage,entre 3 y 4,0.2,Medium,August,57.161142857142856
1370,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 5 y 6,0.2,Medium,June,25.41818181818182
1371,First Class,Home Office,New York City,Technology,Phones,entre 1 y 2,0.0,Medium,April,79.34666666666666
1372,First Class,Corporate,Seattle,Technology,Accessories,entre 7 y 8,0.0,Medium,November,13.617333333333333
1373,Same Day,Consumer,Columbus,Technology,Phones,entre 1 y 2,0.4,High,March,29.584
1374,First Class,Consumer,New York City,Office Supplies,Supplies,entre 5 y 6,0.0,High,April,9.981818181818182
1375,Same Day,Consumer,Seattle,Furniture,Furnishings,entre 9 y 10,0.0,High,September,21.031578947368423
1376,Standard Class,Home Office,New York City,Furniture,Chairs,entre 1 y 2,0.1,High,November,90.58800000000001
1377,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 5 y 6,0.2,Medium,September,24.952727272727273
1378,Standard Class,Home Office,Los Angeles,Furniture,Chairs,entre 1 y 2,0.2,Medium,November,160.94933333333333
1379,Standard Class,Consumer,Columbus,Technology,Accessories,entre 3 y 4,0.0,Medium,September,57.13142857142857
1380,Standard Class,Corporate,New York City,Technology,Phones,entre 5 y 6,0.0,High,July,22.71818181818182
1381,First Class,Consumer,Philadelphia,Technology,Accessories,entre 1 y 2,0.2,Critical,September,31.989333333333335
1382,Standard Class,Consumer,Los Angeles,Technology,Accessories,entre 11 y 12,0.0,Medium,April,23.903478260869566
1383,Standard Class,Consumer,Seattle,Technology,Copiers,entre 1 y 2,0.0,Medium,August,199.99333333333334
1384,Second Class,Consumer,New York City,Furniture,Chairs,entre 1 y 2,0.1,Medium,November,85.416
1385,Standard Class,Consumer,Philadelphia,Technology,Phones,entre 5 y 6,0.4,Medium,November,65.44909090909091
1386,Second Class,Home Office,Chicago,Technology,Phones,entre 1 y 2,0.2,Medium,May,148.256
1387,Standard Class,Home Office,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Medium,May,70.3337142857143
1388,Standard Class,Corporate,Seattle,Technology,Accessories,entre 3 y 4,0.0,Medium,February,68.56285714285714
1389,Standard Class,Consumer,San Francisco,Furniture,Furnishings,entre 7 y 8,0.0,Medium,December,26.805333333333333
1390,Second Class,Corporate,New York City,Office Supplies,Storage,entre 1 y 2,0.0,Medium,September,52.53333333333333
1391,First Class,Home Office,New York City,Office Supplies,Paper,entre 7 y 8,0.0,Critical,October,6.912000000000001
1392,First Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,High,May,36.81428571428571
1393,First Class,Corporate,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Critical,November,22.848000000000003
1394,Standard Class,Corporate,New York City,Technology,Accessories,entre 7 y 8,0.0,High,June,13.749333333333334
1395,Same Day,Consumer,Seattle,Technology,Phones,entre 5 y 6,0.2,High,September,14.538181818181817
1396,Standard Class,Corporate,Springfield,Office Supplies,Binders,entre 7 y 8,0.0,Medium,October,31.061333333333334
1397,Standard Class,Consumer,San Francisco,Office Supplies,Art,entre 9 y 10,0.0,High,September,10.452631578947368
